MOUNTAIN	ELEVATION	PROMINENCE	RANGE	SUBRANGE	LATITUDE	LONGITUDE	4000FOOT	3500FOOT	1800PROM	52VIEW	TOWER
Mount Randolph	3081	168	White Mountains		44.388337	-71.318024	NO	NO	NO	NO	NO
Pine Mountain	2400	700	White Mountains		44.365938	-71.215270	NO	NO	NO	NO	NO
Shelburne Moriah Mountain	3735	435	White Mountains	Carter Range	44.353191	-71.098864	NO	YES	NO	YES	NO
Mount Moriah	4049	922	White Mountains	Carter Range	44.340522	-71.131776	YES	YES	NO	NO	NO
Cherry Mountain	3554	1546	White Mountains	Presidential Range (NH)	44.330779	-71.499179	NO	YES	NO	YES	NO
Mount Madison	5366	466	White Mountains	Presidential Range (NH)	44.328843	-71.276820	YES	YES	NO	NO	NO
Imp Face	3165	45	White Mountains	Carter Range	44.321627	-71.188150	NO	NO	NO	YES	NO
Mount Adams	5799	861	White Mountains	Presidential Range (NH)	44.320675	-71.291695	YES	YES	NO	NO	NO
Mount Jefferson	5712	753	White Mountains	Presidential Range (NH)	44.304185	-71.316750	YES	YES	NO	NO	NO
Middle Carter Mountain	4600	700	White Mountains	Carter Range	44.303054	-71.167757	YES	YES	NO	NO	NO
Mount Dartmouth	3727	718	White Mountains		44.302539	-71.383904	NO	YES	NO	NO	NO
West Royce Mountain	3200	1320	White Mountains	Baldface Range	44.302318	-71.018321	NO	NO	NO	YES	NO
Mount Deception	3671	561	White Mountains		44.293707	-71.420632	NO	YES	NO	NO	NO
South Carter Mountain	4420	220	White Mountains	Carter Range	44.289823	-71.176483	YES	YES	NO	NO	NO
Mount Washington	6288	6148	White Mountains	Presidential Range (NH)	44.270464	-71.303444	YES	YES	YES	NO	NO
Mount Meader	2782	102	White Mountains		44.269112	-71.053612	NO	NO	NO	NO	NO
Carter Dome	4832	2821	White Mountains	Carter Range	44.267352	-71.179195	YES	YES	YES	NO	NO
Wildcat A	4422	1034	White Mountains	Carter Range	44.259231	-71.201739	YES	YES	NO	NO	NO
Mount Monroe	5372	254	White Mountains	Presidential Range (NH)	44.255050	-71.321420	YES	YES	NO	NO	NO
Eagle Crag	3020	60	White Mountains	Baldface Range	44.253624	-71.071577	NO	NO	NO	YES	NO
Middle Sugarloaf	2539	259	White Mountains	Twin Range	44.251639	-71.517713	NO	NO	NO	YES	NO
Wildcat D	4062	287	White Mountains	Carter Range	44.249433	-71.223766	YES	YES	NO	NO	NO
North Baldface	3600	1240	White Mountains	Baldface Range	44.242974	-71.087196	NO	YES	NO	YES	NO
Mount Eisenhower	4760	335	White Mountains	Presidential Range (NH)	44.240526	-71.350307	YES	YES	NO	NO	NO
South Baldface	3560	280	White Mountains	Baldface Range	44.230751	-71.078068	NO	YES	NO	YES	NO
Mount Pierce	4310	230	White Mountains	Presidential Range (NH)	44.226755	-71.365783	YES	YES	NO	NO	NO
Nubble Peak	3813	173	White Mountains		44.222888	-71.561533	NO	YES	NO	NO	NO
Mount Hale	4054	614	White Mountains	Twin Range	44.221711	-71.512254	YES	YES	NO	NO	NO
Eastman Mountain	2939	359	White Mountains	Baldface Range	44.215642	-71.062028	NO	NO	NO	YES	NO
Sable Mountain	3519	619	White Mountains		44.214943	-71.095797	NO	YES	NO	NO	NO
Mount Isolation	4003	203	White Mountains	Presidential Range (NH)	44.214706	-71.309318	YES	YES	NO	NO	NO
Mount Tom	4051	331	White Mountains	Crawford Range	44.210563	-71.446184	YES	YES	NO	NO	NO
Mount Avalon	3440	80	White Mountains	Crawford Range	44.206418	-71.427128	NO	NO	NO	YES	NO
Mount Willard	2865	265	White Mountains	Crawford Range	44.203899	-71.413081	NO	NO	NO	YES	NO
Mount Jackson	4052	332	White Mountains	Presidential Range (NH)	44.203202	-71.375523	YES	YES	NO	NO	NO
North Twin	4761	281	White Mountains	Twin Range	44.202594	-71.558053	YES	YES	NO	NO	NO
South Hale	3680	240	White Mountains		44.201110	-71.518585	NO	YES	NO	NO	NO
Middle Black Mountain	2757	157	White Mountains	Carter Range	44.198667	-71.168575	NO	NO	NO	YES	NO
Mount Field	4320	1681	White Mountains	Crawford Range	44.196195	-71.433428	YES	YES	NO	NO	NO
Mount Webster	3910	150	White Mountains	Presidential Range (NH)	44.194751	-71.388224	NO	NO	NO	YES	NO
Garfield Ridge East	3590	190	White Mountains		44.192886	-71.582005	NO	YES	NO	NO	NO
Garfield Ridge West	3667	227	White Mountains		44.189918	-71.595290	NO	YES	NO	NO	NO
West Field	3691	211	White Mountains		44.189225	-71.447176	NO	YES	NO	NO	NO
South Twin	4902	1502	White Mountains	Twin Range	44.187702	-71.554604	YES	YES	NO	NO	NO
Mount Garfield	4480	800	White Mountains	Franconia Range	44.187219	-71.610836	YES	YES	NO	NO	NO
Galehead Mountain	4024	264	White Mountains	Twin Range	44.185020	-71.573501	YES	YES	NO	NO	NO
Mount Willey	4255	255	White Mountains	Crawford Range	44.183428	-71.421129	YES	YES	NO	NO	NO
Artist's Bluff	2320	280	White Mountains		44.181273	-71.698011	NO	NO	NO	NO	NO
Zealand Mountain	4240	200	White Mountains	Twin Range	44.179740	-71.521355	YES	YES	NO	NO	NO
Mount Guyot	4560	160	White Mountains	Twin Range	44.168219	-71.533907	YES	YES	NO	NO	NO
North Doublehead	3053	953	White Mountains	Carter Range	44.167740	-71.130047	NO	NO	NO	YES	NO
South Doublehead	2939	219	White Mountains		44.161509	-71.131923	NO	NO	NO	NO	NO
Mount Lafayette	5240	3320	White Mountains	Franconia Range	44.160730	-71.644564	YES	YES	YES	NO	NO
Cannon Mountain	4080	720	White Mountains	Kinsman Range	44.156776	-71.698626	YES	YES	NO	NO	YES
Stairs Mountain	3468	508	White Mountains	Presidential Range (NH)	44.155122	-71.318482	NO	NO	NO	YES	NO
West Bond	4520	160	White Mountains	Twin Range	44.154734	-71.543514	YES	YES	NO	NO	NO
Mount Bond	4698	298	White Mountains	Twin Range	44.153045	-71.531225	YES	YES	NO	NO	NO
The Cannon Balls	3769	329	White Mountains		44.149963	-71.710296	NO	YES	NO	NO	NO
Mount Lincoln	5089	169	White Mountains	Franconia Range	44.148832	-71.644677	YES	YES	NO	NO	NO
Mount Resolution	3415	335	White Mountains	Presidential Range (NH)	44.147615	-71.314081	NO	NO	NO	YES	NO
Owl's Head	4025	825	White Mountains	Franconia Range	44.144081	-71.605039	YES	YES	NO	NO	NO
Bondcliffs	4265	185	White Mountains	Twin Range	44.140653	-71.540616	YES	YES	NO	NO	NO
Mount Crawford	3119	239	White Mountains	Presidential Range (NH)	44.136759	-71.332495	NO	NO	NO	YES	NO
